,title_code,title,runtime,release_date,rating,prod_co,metaScore,metaUserScore,imdb_rating,genre,actor1,actor2,actor3,actor4,actor5,actor6,actor7,actor8,actor9,actor10,directors,writers,budget,opening_wknd,gross_dom,gross_int
0,tt9129296,Raise Hell: The Life & Times of Molly Ivins,0,2019-09-06,Not Rated,"['Gunslinger Productions', 'Magnolia Pictures']",0,0,0,[],/name/nm1684757/,/name/nm0066669/,/name/nm0118059/,/name/nm0124133/,/name/nm1197615/,/name/nm11422664/,/name/nm3827388/,/name/nm11422662/,/name/nm11422681/,/name/nm11422661/,['Janice Engel'],"['Janice Engel', 'Monique Zavistovski']",94504.0,694410.0,694410.0,
0,tt9130810,Die Kinder der Toten,0,2019-04-05,,"['Ulrich Seidl Filmproduktion', 'Olymp Film']",0,0,0,[],/name/nm10671139/,/name/nm10671137/,/name/nm10427059/,/name/nm2244961/,/name/nm10671136/,/name/nm10671140/,/name/nm7099889/,/name/nm10671138/,,,"['Kelly Copper', 'Pavol Liska']",['Elfriede Jelinek'],,,,
0,tt9133378,Premature,0,2020-02-21,Unrated,"['Mi Alma Films', 'Endeavor Content', 'IFC Films']",0,0,0,[],/name/nm3136974/,/name/nm5264241/,/name/nm8979379/,/name/nm10192486/,/name/nm8933067/,/name/nm1680184/,/name/nm5048075/,/name/nm8352787/,/name/nm8520736/,/name/nm4465857/,['Rashaad Ernesto Green'],"['Rashaad Ernesto Green', 'Zora Howard']",9909.0,23071.0,23071.0,
0,tt9133718,"Brothers Grimm, Sisters Wild",0,2019-08-24,,['Our Dramatic Solutions'],0,0,0,[],/name/nm3246106/,/name/nm6208783/,/name/nm1824447/,/name/nm10246195/,/name/nm9331906/,/name/nm10246193/,/name/nm7850456/,/name/nm10210037/,/name/nm10246194/,/name/nm10210038/,['Danny Truxaw'],"['Danny Truxaw', 'Mia Truxaw']",30000.0,,,
0,tt9134216,Playing with Fire,0,2019-11-08,PG,"['Broken Road Productions', 'Paramount Pictures']",0,0,0,[],/name/nm1078479/,/name/nm1221047/,/name/nm0000491/,/name/nm0541932/,/name/nm6552202/,/name/nm8087548/,/name/nm10548078/,/name/nm0339460/,/name/nm0371660/,/name/nm1214436/,['Andy Fickman'],"['Dan Ewen', 'Matt Lieberman']",29900000.0,12723781.0,44451847.0,68631669.0
0,tt9134720,(R)Evolution,0,2019-12-01,,[],0,0,0,[],/name/nm4003791/,/name/nm0001084/,,,,,,,,,[],[],,,,
0,tt9135260,Dark Light,0,2019-12-06,,"['Seahorse FIlmhouse', 'Vertical Entertainment']",0,0,0,[],/name/nm7289044/,/name/nm7428291/,/name/nm0111029/,/name/nm3136976/,/name/nm5160420/,/name/nm1528648/,/name/nm4825062/,/name/nm6278090/,/name/nm8135717/,/name/nm2242196/,['Padraig Reynolds'],['Padraig Reynolds'],,,,
0,tt9135272,Eminence Hill,0,2019-11-01,,"['FilmCore', ""Uncork'd Entertainment""]",0,0,0,[],/name/nm0179224/,/name/nm0000663/,/name/nm0000448/,/name/nm1752714/,/name/nm1761600/,/name/nm4842994/,/name/nm10710393/,/name/nm5010406/,/name/nm8088817/,/name/nm0828288/,['Robert Conway'],"['Robert Conway', 'Owen Conway']",,,,
0,tt9135318,Moonlight Sonata: Deafness in Three Movements,0,2019-09-13,Not Rated,"['HBO Documentary Films', 'Abramorama']",0,0,0,[],,,,,,,,,,,['Irene Taylor Brodsky'],[],5424.0,33823.0,33823.0,
0,tt9135800,Brother's Day,0,2019-09-05,,"['Magic Frames', 'Indywood Distribution Network (IDN)']",0,0,0,[],/name/nm1335387/,/name/nm8468959/,/name/nm7371790/,/name/nm6995220/,/name/nm6213877/,/name/nm5573352/,/name/nm1137738/,/name/nm4143935/,/name/nm3175230/,/name/nm1066795/,['Kalabhavan Shajohn'],['Kalabhavan Shajohn'],8570.0,,,
0,tt9136024,A Great Lamp,0,2019-12-01,,['Kéro'],0,0,0,[],/name/nm3438077/,/name/nm10194900/,/name/nm5828189/,/name/nm0783806/,/name/nm5879790/,/name/nm10194901/,/name/nm10194904/,/name/nm1668923/,/name/nm5664979/,,['Saad Qureshi'],"['Donald R. Monroe', 'Saad Qureshi', 'Max Wilde']",9000.0,,,
0,tt9137572,One More Photo Please,0,2019-04-13,,[],0,0,0,[],/name/nm10206748/,/name/nm10167602/,/name/nm10578159/,/name/nm10194554/,/name/nm8174356/,/name/nm10578158/,/name/nm10723829/,/name/nm9937829/,/name/nm10196006/,/name/nm7378651/,['Carolyn Anderton'],['Dolly Rosario'],,,,
0,tt9139022,36 Hours,0,2019-06,,[],0,0,0,[],/name/nm10195177/,/name/nm10195175/,,,,,,,,,['Adam Sekuler'],[],,,,
0,tt9139848,Tough Guy: The Bob Probert Story,0,2019-04-12,,['Dark Star Pictures'],0,0,0,[],/name/nm0155058/,/name/nm0156067/,/name/nm5521932/,/name/nm0231423/,/name/nm0342366/,/name/nm7400956/,/name/nm7145318/,/name/nm3216444/,/name/nm1156245/,/name/nm4593043/,['Geordie Day'],['Geordie Day'],,,,
0,tt9143084,The Great American Lie,0,2019-04-15,,[],0,0,0,[],/name/nm4859601/,/name/nm10656031/,/name/nm2100522/,/name/nm9649248/,,,,,,,['Jennifer Siebel Newsom'],"['Jessica Congdon', 'Jennifer Siebel Newsom']",,,,
0,tt9143636,Guest of Honour,0,2020-02-13,,"['Ego Film Arts', 'Kino Lorber']",0,0,0,[],/name/nm5315658/,/name/nm0000667/,/name/nm0005561/,/name/nm1160472/,/name/nm1856396/,/name/nm2797152/,/name/nm0687947/,/name/nm0890268/,/name/nm2684213/,/name/nm0099909/,['Atom Egoyan'],['Atom Egoyan'],,,,
0,tt9143908,American Times,0,2019-03-01,,['Pine Drive Pictures'],0,0,0,[],/name/nm6522386/,/name/nm10199351/,/name/nm10197726/,/name/nm1123101/,/name/nm10197728/,,,,,,['Jon Vander Pol'],['Jon Vander Pol'],,,,
0,tt9144756,Rattlesnakes,0,2019-12-27,,"['Jet Media Productions', 'Kew Media Group Distribution', 'Kew Media Group']",0,0,0,[],/name/nm1097515/,/name/nm0171059/,/name/nm0565750/,/name/nm0010264/,/name/nm0646792/,/name/nm0452748/,/name/nm0498146/,/name/nm9096408/,/name/nm0184546/,/name/nm8024299/,['Julius Amedume'],"['Julius Amedume', 'Graham Farrow']",,,,
0,tt9144838,The Prince's Voyage,0,2019-10-19,,"['Blue Spirit Animation', 'Gébéka Films']",0,0,0,[],/name/nm1060345/,/name/nm0756216/,/name/nm0494246/,/name/nm2204227/,/name/nm1575319/,/name/nm0480924/,/name/nm0148498/,/name/nm0094858/,,,"['Jean-François Laguionie', 'Xavier Picard']","['Jean-François Laguionie', 'Jean-François Laguionie', 'Anik Leray', 'Anik Leray']",460674.0,,,
0,tt9145030,Live or Failure,0,2019-04-13,,[],0,0,0,[],,,,,,,,,,,['Andrea Gonzales-Paul'],['Andrea Gonzales-Paul'],,,,
